Reference, Value, Footprint, Datasheet
"J4","Inp1","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"J5","Inp2","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"J8","Inp3","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"R11","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J9","Inp4","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"U1","WeMos_mini","Wemos_D1_Mini:Wemos_D1_Mini_Shield","http://www.wemos.cc/Products/d1_mini.html"
"J1","Out3","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"Q1","2N2219","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D1","DIODE","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D2","LED","LED_THT:LED_D3.0mm_Clear","~"
"R2","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J3","Out4","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"Q3","2N2219","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D4","DIODE","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D6","LED","LED_THT:LED_D3.0mm_Clear","~"
"R6","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J7","Out5","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"Q5","2N2219","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D8","DIODE","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D10","LED","LED_THT:LED_D3.0mm_Clear","~"
"R10","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J2","Out1","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"Q2","2N2219","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R3","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D3","DIODE","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D5","LED","LED_THT:LED_D3.0mm_Clear","~"
"R5","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J6","Out2","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"Q4","2N2219","Package_TO_SOT_THT:TO-92L_Inline_Wide","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D7","DIODE","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D9","LED","LED_THT:LED_D3.0mm_Clear","~"
"R9","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"J10","Inp0","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
